sid,label
SRS4430387,1
SRS4430385,1
SRS4430357,0
SRS4430338,1
SRS4430304,0
SRS4430228,0
SRS4430192,1
SRS4430182,0
SRS4430163,0
SRS4430121,1
SRS4430110,1
SRS4430102,0
SRS4430080,0
SRS4430065,1
SRS4430384,1
SRS4430369,0
SRS4430354,0
SRS4430345,1
SRS4430340,0
SRS4430339,1
SRS4430337,0
SRS4430336,0
SRS4430335,1
SRS4430334,1
SRS4430323,1
SRS4430300,1
SRS4430291,0
SRS4430278,1
SRS4430276,1
SRS4430273,1
SRS4430268,1
SRS4430257,1
SRS4430223,1
SRS4430205,1
SRS4430189,1
SRS4430188,1
SRS4430179,1
SRS4430178,1
SRS4430173,0
SRS4430170,0
SRS4430115,0
SRS4430114,1
SRS4430112,0
SRS4430109,1
SRS4430083,0
SRS4430081,0
SRS4430071,1
SRS4430070,1
SRS4430068,1
SRS4430386,1
SRS4430406,1
SRS4430382,1
SRS4430377,1
SRS4430373,1
SRS4430367,0
SRS4430366,1
SRS4430364,1
SRS4430363,1
SRS4430360,1
SRS4430358,0
SRS4430353,1
SRS4430346,1
SRS4430343,1
SRS4430342,0
SRS4430341,0
SRS4430328,1
SRS4430324,1
SRS4430305,0
SRS4430302,1
SRS4430299,1
SRS4430293,0
SRS4430290,1
SRS4430289,1
SRS4430288,1
SRS4430284,1
SRS4430282,0
SRS4430275,0
SRS4430270,0
SRS4430255,1
SRS4430241,1
SRS4430230,0
SRS4430224,1
SRS4430218,1
SRS4430195,1
SRS4430185,1
SRS4430184,1
SRS4430180,1
SRS4430176,0
SRS4430177,0
SRS4430166,0
SRS4430130,1
SRS4430129,1
SRS4430127,1
SRS4430108,0
SRS4430107,1
SRS4430100,0
SRS4430079,0
SRS4430078,0
SRS4430076,1
SRS4430073,1
SRS4430072,1
SRS4430069,1
SRS4430062,1
SRS4430409,0
SRS4430407,1
SRS4430397,0
SRS4430389,1
SRS4430388,1
SRS4430376,1
SRS4430374,1
SRS4430370,1
SRS4430371,1
SRS4430365,1
SRS4430362,1
SRS4430352,1
SRS4430348,1
SRS4430344,1
SRS4430333,1
SRS4430331,1
SRS4430325,1
SRS4430303,1
SRS4430297,1
SRS4430295,1
SRS4430292,1
SRS4430264,1
SRS4430258,1
SRS4430254,1
SRS4430245,0
SRS4430232,1
SRS4430225,1
SRS4430191,1
SRS4430164,0
SRS4430161,1
SRS4430152,1
SRS4430143,1
SRS4430132,1
SRS4430131,1
SRS4430128,0
SRS4430077,1
SRS4430074,1
SRS4430066,1
SRS4430061,1
SRS4430408,1
SRS4430405,1
SRS4430398,0
SRS4430391,1
SRS4430375,1
SRS4430368,1
SRS4430349,1
SRS4430332,1
SRS4430330,1
SRS4430317,1
SRS4430310,1
SRS4430261,1
SRS4430256,1
SRS4430219,1
SRS4430216,1
SRS4430214,1
SRS4430211,0
SRS4430207,1
SRS4430206,1
SRS4430140,0
SRS4430134,1
SRS4430105,1
SRS4430075,1
SRS4430372,1
SRS4430347,1
SRS4430329,1
SRS4430309,1
SRS4430215,1
SRS4430210,1
SRS4430208,1
SRS4430209,1
SRS4430133,1
SRS4430097,1
SRS4430096,1
