sid,label
DRS061606,0
DRS061607,0
DRS061608,0
DRS061609,0
DRS061611,1
DRS061612,0
DRS061614,0
DRS061616,1
DRS061617,0
DRS061619,0
DRS061620,0
DRS061622,1
DRS061623,1
DRS061624,0
DRS061625,0
DRS061626,0
DRS061627,0
DRS061628,0
DRS061629,0
DRS061630,0
DRS061631,0
DRS061633,1
DRS061634,0
DRS061635,0
DRS061636,0
DRS061637,0
DRS061638,0
DRS061639,0
DRS061640,0
DRS061643,1
DRS061645,0
DRS061646,0
DRS061647,0
DRS061648,0
DRS061649,0
DRS061650,1
DRS061652,0
DRS061653,0
DRS061654,1
DRS061656,0
DRS061657,1
DRS061658,0
DRS061659,0
DRS061662,1
DRS061663,0
DRS061664,0
DRS061665,1
DRS061666,1
